filename,page,rect_index,rect_bounds,rect_width,rect_height,word_count,overlapped_text
20-3061_Documents.pdf,329,37,"(451.5,660.9,534.0,671.9)",82.5,10.9,1,with
20-3061_Documents.pdf,329,38,"(71.0,674.7,318.4,685.7)",247.3,10.9,4,the government served -
20-3061_Documents.pdf,329,42,"(466.5,688.5,525.2,699.4)",58.7,10.9,2,served with
20-3061_Documents.pdf,330,6,"(71.0,164.1,512.7,175.0)",441.7,10.9,9,"During these ex parte proceedings, the government made numerous"
20-3061_Documents.pdf,330,7,"(71.0,177.9,198.7,188.8)",127.6,10.9,3,unchallenged factual assertions.
20-3061_Documents.pdf,330,8,"(171.9,205.5,510.2,216.4)",338.3,10.9,9,"not the government, any court, or disclosed to Ms."
20-3061_Documents.pdf,330,23,"(153.7,440.1,494.2,451.0)",340.5,10.9,1,the
20-3061_Documents.pdf,330,24,"(71.0,453.9,463.7,464.8)",392.6,10.9,11,"government arrested Ms. Maxwell. On July 8, the government filed superseding"
20-3061_Documents.pdf,330,25,"(263.3,548.7,291.4,561.5)",28.1,12.7,1,referenced
20-3061_Documents.pdf,330,26,"(71.0,550.5,260.3,561.5)",189.3,10.9,5,On the two applications referenced
20-3061_Documents.pdf,330,27,"(294.5,550.5,488.0,561.5)",193.5,10.9,1,above
20-3061_Documents.pdf,330,29,"(329.5,564.3,536.1,575.3)",206.6,10.9,5,SDNY courts rendered split decision.
20-3061_Documents.pdf,330,31,"(496.5,578.1,524.5,589.1)",28.0,10.9,1,the
20-3061_Documents.pdf,330,33,"(71.0,495.3,198.3,506.2)",127.3,10.9,4,conceal her conduct” by
20-3061_Documents.pdf,331,1,"(158.6,95.1,283.1,106.0)",124.5,10.9,1,.7
20-3061_Documents.pdf,331,13,"(71.0,246.9,508.0,257.8)",437.0,10.9,15,"These issues, in turn, impact her rights as the accused in this matter, constitutionally presumed"
20-3061_Documents.pdf,332,11,"(71.0,343.5,533.9,354.4)",462.9,10.9,10,“The rule does not impose any obligation of secrecy on
20-3061_Documents.pdf,332,12,"(71.0,357.3,251.9,368.2)",180.9,10.9,7,"witnesses.” Fed. R. Crim. P. 6, Advisory"
20-3061_Documents.pdf,332,14,"(226.3,440.1,518.4,451.0)",292.1,10.9,7,Without the ability to use - -
20-3061_Documents.pdf,332,15,"(71.0,453.9,391.3,464.8)",320.3,10.9,11,Material in the very limited fashion proposed Ms. Maxwell she -
20-3061_Documents.pdf,332,38,"(71.0,398.7,491.4,409.6)",420.4,10.9,6,Too many questions remain unanswered -
20-3061_Documents.pdf,332,39,"(71.0,412.5,291.9,423.4)",220.9,10.9,7,including exactly what was said between the
20-3061_Documents.pdf,333,13,"(330.2,426.3,409.4,437.2)",79.2,10.9,3,access as judicial
20-3061_Documents.pdf,333,17,"(71.0,605.9,150.6,616.7)",79.5,10.7,3,"The Material, as"
20-3061_Documents.pdf,334,1,"(71.0,95.1,537.0,106.0)",466.0,10.9,1,).8
20-3061_Documents.pdf,334,7,"(135.2,231.3,509.1,242.2)",373.9,10.9,8,he Material at issue in this letter motion.
20-3061_Documents.pdf,336,5,"(71.0,246.9,521.1,257.8)",450.1,10.9,5,The process to evaluate whether
20-3061_Documents.pdf,336,6,"(71.0,260.7,346.9,271.6)",275.9,10.9,8,judicial document should remain under seal clear. Once
20-3061_Documents.pdf,336,8,"(71.0,371.1,486.2,382.0)",415.2,10.9,7,is also likely that these same documents
20-3061_Documents.pdf,336,9,"(71.0,384.9,318.9,395.8)",247.9,10.9,10,will be the subject of future motion practice in this
20-3061_Documents.pdf,339,11,"(71.0,246.9,536.2,257.8)",465.2,10.9,1,The
20-3061_Documents.pdf,339,12,"(71.0,260.7,498.1,271.6)",427.1,10.9,10,government’s ad hominem suggestion that Ms. Maxwell has “cherry-pick[ed] materials”
20-3061_Documents.pdf,340,1,"(71.0,95.1,534.8,106.0)",463.8,10.9,3,see also Palmieri
20-3061_Documents.pdf,340,2,"(71.0,108.9,450.0,119.8)",379.0,10.9,15,"v. State of New York, 779 F.2d 861 (2d Cir. 1987); Abbott Laboratories v. Adelphia"
20-3061_Documents.pdf,340,3,"(248.6,191.7,363.2,202.6)",114.6,10.9,2,ex parte.
20-3061_Documents.pdf,340,7,"(71.0,246.9,534.8,257.8)",463.8,10.9,3,Ms. Maxwell not
20-3061_Documents.pdf,340,8,"(71.0,260.7,425.9,271.6)",354.9,10.9,8,asking this Court to decide that question today.
20-3061_Documents.pdf,340,28,"(71.0,619.5,537.9,630.4)",466.9,10.9,11,"Certainly the subpoena recipient, otherwise known as counsel for the adverse"
20-3061_Documents.pdf,340,29,"(71.0,633.3,149.3,644.2)",78.3,10.9,4,party to the Civil
20-3061_Documents.pdf,341,1,"(131.9,95.1,532.5,106.0)",400.5,10.9,1,.2
20-3061_Documents.pdf,341,3,"(408.9,150.3,509.8,161.2)",101.0,10.9,3,judicial officers are
20-3061_Documents.pdf,341,4,"(71.0,164.1,336.9,175.0)",265.9,10.9,8,capable of maintaining files under seal and confidences.
20-3061_Documents.pdf,341,5,"(259.6,384.9,445.6,395.8)",186.0,10.9,6,sealed materials’ lack of relevance to
20-3061_Documents.pdf,343,2,"(71.0,177.9,500.9,188.8)",429.9,10.9,12,"And, at minimum, Ms. Maxwell’s opponent in the Civil Litigation knows both"
20-3061_Documents.pdf,343,3,"(71.0,191.7,121.4,202.6)",50.4,10.9,2,the Government
20-3061_Documents.pdf,343,6,"(71.0,288.3,538.2,299.2)",467.2,10.9,14,The government has not articulated cogent reason for that information to be kept from
20-3061_Documents.pdf,343,7,"(71.0,302.1,106.4,313.0)",35.4,10.9,2,the other
20-3061_Documents.pdf,421,6,"(508.7,648.1,538.5,662.1)",29.9,14.0,1,1111
2022.03.17-1 Exhibit 1.pdf,18,1,"(313.8,559.3,460.8,573.1)",147.0,13.8,4,"Financial Strategy Group, Ltd.;"
2022.03.17-1 Exhibit 1.pdf,18,2,"(467.1,559.3,511.7,573.1)",44.5,13.8,2,Financial -
2022.03.17-1 Exhibit 1.pdf,18,3,"(72.0,586.9,121.6,600.7)",49.6,13.8,3,"Trust, Inc.; -"
2022.03.17-1 Exhibit 1.pdf,18,4,"(347.4,586.9,435.9,600.7)",88.6,13.8,3,"Hyperion Air, Inc.;"
2022.03.17-1 Exhibit 1.pdf,19,1,"(505.7,531.7,519.6,545.5)",13.9,13.8,2,He ■
2022.03.17-1 Exhibit 1.pdf,19,2,"(72.0,559.3,362.4,573.1)",290.3,13.8,9,also was a signatory on the Foundation’s checking accounts.
2022.03.17-1 Exhibit 1.pdf,19,3,"(385.6,586.9,515.0,600.7)",129.4,13.8,3,signed Foundation account
2022.03.17-1 Exhibit 1.pdf,19,4,"(72.0,614.5,507.6,628.3)",435.6,13.8,14,"checks for over $400,000 made payable to young female models and actresses, including a"
2022.03.17-1 Exhibit 1.pdf,19,5,"(72.0,642.1,499.7,655.9)",427.7,13.8,12,"former Russian model who received over $380,000 through monthly payments of $8,333"
2022.03.17-1 Exhibit 1.pdf,20,1,"(280.6,90.0,508.3,103.8)",227.7,13.8,8,signed a Foundation check made payable to the
2022.03.17-1 Exhibit 1.pdf,20,2,"(72.0,117.6,525.2,131.4)",453.2,13.8,15,immigration lawyer in New York who was involved in one or more forced marriages arranged
2022.03.17-1 Exhibit 1.pdf,20,3,"(72.0,145.2,498.4,159.0)",426.3,13.8,13,among Epstein’s victims to secure a victim’s immigration status. The check’s memo line
2022.03.17-1 Exhibit 1.pdf,20,4,"(72.0,172.8,309.0,186.6)",236.9,13.8,7,references the former Russian model’s last name.
2022.03.17-1 Exhibit 1.pdf,20,5,"(147.6,504.1,239.2,517.9)",91.6,13.8,3,"JSC Interiors, LLC"
2022.03.17-1 Exhibit 1.pdf,20,6,"(410.6,531.7,430.1,545.5)",19.4,13.8,2,"JSC, •"
2022.03.17-1 Exhibit 1.pdf,20,7,"(235.7,559.3,374.2,573.1)",138.5,13.8,5,as the company’s sole owner.
2022.03.17-1 Exhibit 1.pdf,20,8,"(383.2,559.3,402.7,573.1)",19.5,13.8,2,JSC •
2022.03.17-1 Exhibit 1.pdf,20,9,"(213.5,614.5,241.6,628.3)",28.1,13.8,2,JSC’s 1111
2022.03.17-1 Exhibit 1.pdf,20,10,"(88.9,697.3,117.0,711.1)",28.1,13.8,2,JSC’s 1111
2022.03.17-1 Exhibit 1.pdf,21,1,"(183.5,90.0,211.6,103.8)",28.1,13.8,2,JSC’s 1111
2022.03.17-1 Exhibit 1.pdf,21,2,"(147.6,145.2,175.7,159.0)",28.1,13.8,2,JSC’s 1111
2022.03.17-1 Exhibit 1.pdf,21,3,"(230.3,172.8,258.4,186.6)",28.1,13.8,2,JSC’s 1111
2022.03.17-1 Exhibit 1.pdf,21,4,"(403.3,200.4,482.3,214.2)",79.0,13.8,3,"interior designer, -"
2022.03.17-1 Exhibit 1.pdf,21,5,"(255.8,228.0,283.8,241.8)",28.0,13.8,2,JSC’s 1111
2022.03.17-1 Exhibit 1.pdf,21,6,"(408.9,255.7,462.5,269.5)",53.5,13.8,4,"as a dentist, -"
2022.03.17-1 Exhibit 1.pdf,21,7,"(124.1,283.2,191.0,297.0)",66.9,13.8,2,JSC Interiors’
2022.03.17-1 Exhibit 1.pdf,23,1,"(217.4,642.1,256.4,655.9)",39.0,13.8,2,"$50,000 -"
2022.03.17-1 Exhibit 1.pdf,23,2,"(165.6,669.7,506.8,683.5)",341.1,13.8,11,"women with Eastern European surnames, including one known to have -"
2022.03.17-1 Exhibit 1.pdf,23,3,"(72.0,697.3,286.6,711.1)",214.6,13.8,7,recruited young women and girls for Epstein.
2022.03.17-1 Exhibit 1.pdf,24,1,"(104.4,117.6,251.9,131.4)",147.5,13.8,4,"Indyke had signatory authority,"
2022.03.17-1 Exhibit 1.pdf,24,2,"(506.2,117.6,518.2,131.4)",12.0,13.8,1,21
2022.03.17-1 Exhibit 1.pdf,24,3,"(72.0,145.2,530.0,159.0)",458.0,13.8,17,"separate withdrawals each in the amount of $1,000 on every but one business day from April 9,"
2022.03.17-1 Exhibit 1.pdf,24,4,"(72.0,172.8,175.4,186.6)",103.3,13.8,5,"2019 to May 8, 2019."
2022.03.17-1 Exhibit 1.pdf,24,5,"(359.1,200.4,531.0,214.2)",171.9,13.8,6,"$60,000 were transferred by wire to"
2022.03.17-1 Exhibit 1.pdf,24,6,"(72.0,228.0,453.7,241.8)",381.7,13.8,12,young women mostly at foreign beneficiary banks in February and March 2016.
2022.03.17-1 Exhibit 1.pdf,24,7,"(465.9,586.9,521.6,600.7)",55.7,13.8,3,$16 million -
2022.03.17-1 Exhibit 1.pdf,24,8,"(72.0,614.5,86.7,628.3)",14.6,13.8,2,net ■
2022.03.17-1 Exhibit 1.pdf,24,9,"(303.5,614.5,377.1,628.3)",73.6,13.8,3,$10 million net
2022.03.17-1 Exhibit 1.pdf,24,10,"(174.3,642.1,494.6,655.9)",320.3,13.8,10,loans that are still outstanding to Indyke- and Kahn-related entities.
2022.03.17-1 Exhibit 1.pdf,24,11,"(202.6,669.7,524.2,683.5)",321.5,13.8,12,tax forms provided by Epstein entities did not report nearly the full
2022.03.17-1 Exhibit 1.pdf,24,12,"(72.0,697.3,236.6,711.1)",164.5,13.8,5,compensation to Indyke and Kahn.
2022.03.17-1 Exhibit 1.pdf,34,1,"(319.6,669.7,476.6,683.5)",157.0,13.8,6,"an interior designer and a dentist,"
2022.03.17-1 Exhibit 1.pdf,35,1,"(72.0,90.0,279.7,103.8)",207.7,13.8,6,"paid employee of Southern Trust Company,"
2022.03.17-1 Exhibit 1.pdf,35,2,"(102.3,117.6,271.5,131.4)",169.2,13.8,5,"interior design or dentistry services,"
2022.03.17-1 Exhibit 1.pdf,38,1,"(310.0,366.1,513.2,379.9)",203.2,13.8,7,"$106,394.60 in Santa Fe property taxes on"
2022.03.17-1 Exhibit 1.pdf,38,2,"(72.0,393.7,161.5,407.5)",89.5,13.8,3,"November 6, 2018."
2022.03.17-1 Exhibit 1.pdf,38,3,"(306.1,448.9,500.3,462.7)",194.2,13.8,6,"$55,770.41 and $113,679.56 in Santa Fe"
2022.03.17-1 Exhibit 1.pdf,38,4,"(72.0,476.5,201.6,490.3)",129.6,13.8,4,property taxes during 2017.
2022.03.17-1 Exhibit 1.pdf,38,5,"(286.4,642.1,506.9,655.9)",220.5,13.8,7,"$336,471.87 in New York City property taxes"
2022.03.17-1 Exhibit 1.pdf,38,6,"(72.0,669.7,130.3,683.5)",58.3,13.8,3,during 2018. -
2022.03.17-1 Exhibit 1.pdf,39,1,"(306.1,117.6,526.7,131.4)",220.6,13.8,7,"$327,497.48 and $6,487.04 in New York City"
2022.03.17-1 Exhibit 1.pdf,39,2,"(72.0,145.2,201.6,159.0)",129.6,13.8,4,property taxes during 2017.
2022.03.17-1 Exhibit 1.pdf,39,3,"(344.6,310.9,521.3,324.6)",176.7,13.8,5,"$196,673.56 in Palm Beach property"
2022.03.17-1 Exhibit 1.pdf,39,4,"(72.0,338.5,204.4,352.2)",132.4,13.8,5,"taxes on November 6, 2018."
2022.03.17-1 Exhibit 1.pdf,39,5,"(306.1,393.7,525.2,407.5)",219.2,13.8,7,"$191,941.52 in Palm Beach property taxes on"
2022.03.17-1 Exhibit 1.pdf,39,6,"(72.0,421.3,155.5,435.1)",83.5,13.8,3,"October 31, 2017."
2022.03.17-1 Exhibit 1.pdf,41,1,"(147.6,283.2,518.3,297.0)",370.7,13.8,11,Defendants also attempted to conceal their criminal sex trafficking and abuse
2022.03.17-1 Exhibit 1.pdf,41,2,"(72.0,310.9,524.6,324.6)",452.6,13.8,14,"conduct by paying large sums of money to participant-witnesses, including by paying for their"
2022.03.17-1 Exhibit 1.pdf,41,3,"(72.0,338.5,384.3,352.2)",312.3,13.8,11,attorneys’ fees and case costs in litigation related to this conduct.
2022.03.17-1 Exhibit 1.pdf,41,4,"(147.6,366.1,513.7,379.9)",366.1,13.8,11,Epstein also threatened harm to victims and helped release damaging stories
2022.03.17-1 Exhibit 1.pdf,41,5,"(72.0,393.7,520.0,407.5)",447.9,13.8,17,about them to damage their credibility when they tried to go public with their stories of being
2022.03.17-1 Exhibit 1.pdf,41,6,"(72.0,421.3,221.3,435.1)",149.3,13.8,4,trafficked and sexually abused.
2022.03.17-1 Exhibit 1.pdf,41,7,"(147.6,448.9,525.2,462.7)",377.6,13.8,10,Epstein also instructed one or more Epstein Enterprise participant-witnesses to
2022.03.17-1 Exhibit 1.pdf,41,8,"(72.0,476.5,510.7,490.3)",438.7,13.8,11,destroy evidence relevant to ongoing court proceedings involving Defendants’ criminal sex
2022.03.17-1 Exhibit 1.pdf,41,9,"(72.0,504.1,217.4,517.9)",145.3,13.8,4,trafficking and abuse conduct.
